==============================================================================
	First Load: Vertex, UV, Normal		Fbx\House.fbx_folder\53_Info_WAND_2.txt
==============================================================================
get WAND_2 ... OK
childCount is ... 2
get child 0 name is ... LEISTEN
	child 0 Attribute is ... nullptr
get child 1 name is ... MAUERWERK
	child 1 NodeAttribute is ... eMesh
	child 1 mesh's ploygonCount is ... 256
	child 1 mesh's list of vertex, uv and normal ...
														Vertex												UV												Normal
		vertex[   0][   0]	|	       -138.383,         215.311,            -470	|	       0.104009,         0.10287	|	              0,               0,               0
		vertex[   0][   1]	|	           -603,             240,            -470	|	              0,               0	|	              0,               0,               0
		vertex[   0][   2]	|	            613,             240,            -470	|	       0.272214,               0	|	              0,               0,               0
		vertex[   1][   0]	|	           -603,             240,            -470	|	              0,               0	|	              0,               0,               0
		vertex[   1][   1]	|	       -138.383,         215.311,            -470	|	       0.104009,         0.10287	|	              0,               0,               0
		vertex[   1][   2]	|	       -298.383,         215.311,            -470	|	      0.0681916,         0.10287	|	              0,               0,               0
		vertex[   2][   0]	|	            613,             240,            -470	|	       0.272214,               0	|	              0,               0,               0
		vertex[   2][   1]	|	        13.7247,         215.311,            -470	|	        0.13806,         0.10287	|	              0,               0,               0
		vertex[   2][   2]	|	       -138.383,         215.311,            -470	|	       0.104009,         0.10287	|	              0,               0,               0
		vertex[   3][   0]	|	       -298.383,         95.3112,            -470	|	      0.0681916,         0.60287	|	              0,               0,               0
		vertex[   3][   1]	|	           -603,               0,            -470	|	              0,               1	|	              0,               0,               0
		vertex[   3][   2]	|	           -603,             240,            -470	|	              0,               0	|	              0,               0,               0
		vertex[   4][   0]	|	       -298.383,         95.3112,            -470	|	      0.0681916,         0.60287	|	              0,               0,               0
		vertex[   4][   1]	|	           -603,             240,            -470	|	              0,               0	|	              0,               0,               0
		vertex[   4][   2]	|	       -298.383,         215.311,            -470	|	      0.0681916,         0.10287	|	              0,               0,               0
		vertex[   5][   0]	|	        13.7247,         95.3112,            -470	|	        0.13806,         0.60287	|	              0,               0,               0
		vertex[   5][   1]	|	       -138.383,         95.3112,            -470	|	       0.104009,         0.60287	|	              0,               0,               0
		vertex[   5][   2]	|	        13.7247,         215.311,            -470	|	        0.13806,         0.10287	|	              0,               0,               0
		vertex[   6][   0]	|	       -138.383,         95.3112,            -470	|	       0.104009,         0.60287	|	              0,               0,               0
		vertex[   6][   1]	|	       -138.383,         215.311,            -470	|	       0.104009,         0.10287	|	              0,               0,               0
		vertex[   6][   2]	|	        13.7247,         215.311,            -470	|	        0.13806,         0.10287	|	              0,               0,               0
		vertex[   7][   0]	|	           -603,               0,            -470	|	              0,               1	|	              0,               0,               0
		vertex[   7][   1]	|	       -298.383,         95.3112,            -470	|	      0.0681916,         0.60287	|	              0,               0,               0
		vertex[   7][   2]	|	       -138.383,         95.3112,            -470	|	       0.104009,         0.60287	|	              0,               0,               0
