                        Normal                                           UV                                         Pos
(              0,               0,               1) | (           0.75,        0.406504) | (             -1,               1,               1)
(              0,               0,               1) | (           0.75,        0.656504) | (             -1,              -1,               1)
(              0,               0,               1) | (            0.5,        0.406504) | (              1,               1,               1)
(              0,               0,               1) | (            0.5,        0.406504) | (              1,               1,               1)
(              0,               0,               1) | (           0.75,        0.656504) | (             -1,              -1,               1)
(              0,               0,               1) | (            0.5,        0.656504) | (              1,              -1,               1)
(              0,              -1,               0) | (            0.5,        0.906504) | (             -1,              -1,               1)
(              0,              -1,               0) | (           0.25,        0.656504) | (              1,              -1,              -1)
(              0,              -1,               0) | (            0.5,        0.656504) | (              1,              -1,               1)
(              0,              -1,               0) | (           0.25,        0.656504) | (              1,              -1,              -1)
(              0,              -1,               0) | (            0.5,        0.906504) | (             -1,              -1,               1)
(              0,              -1,               0) | (           0.25,        0.906504) | (             -1,              -1,              -1)
(             -1,               0,               0) | (       0.748729,        0.404022) | (             -1,               1,               1)
(             -1,               0,               0) | (       0.998222,        0.654921) | (             -1,              -1,              -1)
(             -1,               0,               0) | (       0.748223,        0.654021) | (             -1,              -1,               1)
(             -1,               0,               0) | (       0.998222,        0.654921) | (             -1,              -1,              -1)
(             -1,               0,               0) | (       0.748729,        0.404022) | (             -1,               1,               1)
(             -1,               0,               0) | (       0.998728,        0.404922) | (             -1,               1,              -1)
(              0,               0,              -1) | (           0.25,        0.656504) | (              1,              -1,              -1)
(              0,               0,              -1) | (   -1.11759e-08,        0.656504) | (             -1,              -1,              -1)
(              0,               0,              -1) | (   -1.11759e-08,        0.406504) | (             -1,               1,              -1)
(              0,               0,              -1) | (           0.25,        0.656504) | (              1,              -1,              -1)
(              0,               0,              -1) | (   -1.11759e-08,        0.406504) | (             -1,               1,              -1)
(              0,               0,              -1) | (           0.25,        0.406504) | (              1,               1,              -1)
(              1,               0,               0) | (            0.5,        0.656504) | (              1,              -1,               1)
(              1,               0,               0) | (           0.25,        0.406504) | (              1,               1,              -1)
(              1,               0,               0) | (            0.5,        0.406504) | (              1,               1,               1)
(              1,               0,               0) | (           0.25,        0.406504) | (              1,               1,              -1)
(              1,               0,               0) | (            0.5,        0.656504) | (              1,              -1,               1)
(              1,               0,               0) | (           0.25,        0.656504) | (              1,              -1,              -1)
(              0,               1,               0) | (            0.5,        0.406504) | (              1,               1,               1)
(              0,               1,               0) | (           0.25,        0.156504) | (             -1,               1,              -1)
(              0,               1,               0) | (            0.5,        0.156504) | (             -1,               1,               1)
(              0,               1,               0) | (           0.25,        0.156504) | (             -1,               1,              -1)
(              0,               1,               0) | (            0.5,        0.406504) | (              1,               1,               1)
(              0,               1,               0) | (           0.25,        0.406504) | (              1,               1,              -1)
36
