(0.750458, 0.410423)
(0.750458, 0.660423)
(0.500458, 0.410423)
(0.500458, 0.410423)
(0.750458, 0.660423)
(0.500458, 0.660423)
(0.500458, 0.920195)
(0.250458, 0.670195)
(0.500458, 0.670195)
(0.250458, 0.670195)
(0.500458, 0.920195)
(0.250458, 0.920195)
(0.74801, 0.407726)
(0.9968, 0.659864)
(0.746806, 0.657721)
(0.9968, 0.659864)
(0.74801, 0.407726)
(0.998005, 0.409869)
(0.251679, 0.662052)
(0.00167888, 0.662052)
(0.00167888, 0.412052)
(0.251679, 0.662052)
(0.00167888, 0.412052)
(0.251679, 0.412052)
(0.501679, 0.662052)
(0.251679, 0.412052)
(0.501679, 0.412052)
(0.251679, 0.412052)
(0.501679, 0.662052)
(0.251679, 0.662052)
(0.495291, 0.411364)
(0.253183, 0.169255)
(0.495291, 0.169255)
(0.253183, 0.169255)
(0.495291, 0.411364)
(0.253183, 0.411364)
36
