(-0.557603, -0.557603, -0.614946)
(-0.557603, -0.557603, -0.614946)
(-0.51734, -0.57479, -0.634015)
(-0.51734, -0.57479, -0.634015)
(-0.473326, -0.591588, -0.652676)
(-0.473326, -0.591588, -0.652676)
(-0.425464, -0.607691, -0.67059)
(-0.425464, -0.607691, -0.67059)
(-0.373753, -0.622757, -0.687373)
(-0.373753, -0.622757, -0.687373)
(-0.360685, -0.643217, -0.675409)
(-0.318314, -0.636413, -0.702606)
(-0.306556, -0.656363, -0.689355)
(-0.259416, -0.648273, -0.715853)
(-0.24937, -0.667712, -0.70141)
(-0.197483, -0.657966, -0.726692)
(-0.189539, -0.676935, -0.71122)
(-0.133102, -0.665158, -0.734744)
(-0.127595, -0.683748, -0.718477)
(-0.066996, -0.669587, -0.739706)
(-0.0641761, -0.68793, -0.722934)
(0, -0.671083, -0.741382)
(1.18701e-09, -0.689341, -0.724437)
(0.066996, -0.669587, -0.739706)
(0.0641761, -0.68793, -0.722934)
(0.133102, -0.665158, -0.734744)
(0.127595, -0.683748, -0.718477)
(0.197483, -0.657966, -0.726692)
(0.189539, -0.676935, -0.71122)
(0.259416, -0.648273, -0.715853)
(0.24937, -0.667712, -0.70141)
(0.318315, -0.636413, -0.702605)
(0.306556, -0.656363, -0.689355)
(0.373753, -0.622757, -0.687373)
(0.360685, -0.643217, -0.675409)
(0.425464, -0.607691, -0.67059)
(0.411479, -0.628619, -0.659942)
(0.473326, -0.591588, -0.652676)
(0.458778, -0.612911, -0.643322)
(0.51734, -0.57479, -0.634015)
(0.502535, -0.596416, -0.625896)
(0.557603, -0.557603, -0.614946)
(0.579431, -0.542795, -0.607974)
(0.542795, -0.579431, -0.607974)
(-0.57479, -0.51734, -0.634016)
(-0.57479, -0.51734, -0.634016)
(-0.534334, -0.534334, -0.654962)
(-0.534334, -0.534334, -0.654962)
(-0.489845, -0.55104, -0.675579)
(-0.489845, -0.55104, -0.675579)
(-0.441178, -0.567149, -0.695488)
(-0.441178, -0.567149, -0.695488)
(-0.388291, -0.582307, -0.714247)
(-0.388291, -0.582307, -0.714247)
(-0.331279, -0.59612, -0.731365)
(-0.331279, -0.59612, -0.731365)
(-0.270405, -0.608176, -0.746327)
(-0.270405, -0.608176, -0.746327)
(-0.259416, -0.648273, -0.715853)
(-0.206118, -0.61807, -0.75862)
(-0.197483, -0.657966, -0.726692)
(-0.139058, -0.625437, -0.767783)
(-0.133102, -0.665158, -0.734744)
(-0.0700369, -0.629984, -0.773443)
(-0.066996, -0.669587, -0.739706)
(1.18769e-09, -0.631522, -0.775358)
(0.0700369, -0.629985, -0.773443)
(0, -0.671083, -0.741382)
(0.139058, -0.625437, -0.767783)
(0.066996, -0.669587, -0.739706)
(0.133102, -0.665158, -0.734744)
(0.206118, -0.61807, -0.75862)
(0.197483, -0.657966, -0.726692)
(0.270405, -0.608176, -0.746327)
(0.259416, -0.648273, -0.715853)
(0.331279, -0.59612, -0.731365)
(0.318315, -0.636413, -0.702605)
(0.388291, -0.582307, -0.714247)
(0.373753, -0.622757, -0.687373)
(0.441177, -0.567149, -0.695488)
(0.425464, -0.607691, -0.67059)
(0.489845, -0.55104, -0.675579)
(0.473326, -0.591588, -0.652676)
(0.534334, -0.534334, -0.654962)
(0.51734, -0.57479, -0.634015)
(0.57479, -0.51734, -0.634015)
(0.557603, -0.557603, -0.614946)
(0.596416, -0.502535, -0.625896)
(-0.591588, -0.473326, -0.652676)
(-0.591588, -0.473326, -0.652676)
(-0.55104, -0.489845, -0.675579)
(-0.55104, -0.489845, -0.675579)
(-0.506181, -0.506181, -0.698257)
(-0.506181, -0.506181, -0.698257)
(-0.456809, -0.522028, -0.720286)
(-0.456809, -0.522028, -0.720286)
(-0.402836, -0.537027, -0.741165)
(-0.402836, -0.537027, -0.741165)
(-0.344319, -0.550771, -0.760326)
(-0.344319, -0.550771, -0.760326)
(-0.281511, -0.562829, -0.777158)
(-0.281511, -0.562829, -0.777158)
(-0.21488, -0.572768, -0.791052)
(-0.21488, -0.572768, -0.791052)
(-0.14512, -0.580195, -0.801445)
(-0.14512, -0.580195, -0.801445)
(-0.0731377, -0.58479, -0.807881)
(-0.0731377, -0.58479, -0.807881)
(1.78192e-09, -0.586347, -0.81006)
(1.78192e-09, -0.586347, -0.81006)
(0.0731377, -0.58479, -0.807881)
(1.18769e-09, -0.631522, -0.775358)
(0.14512, -0.580195, -0.801445)
(0.0700369, -0.629985, -0.773443)
(0.139058, -0.625437, -0.767783)
(0.21488, -0.572768, -0.791052)
(0.206118, -0.61807, -0.75862)
(0.281511, -0.562829, -0.777158)
(0.270405, -0.608176, -0.746327)
(0.344319, -0.550771, -0.760326)
(0.331279, -0.59612, -0.731365)
(0.402836, -0.537027, -0.741165)
(0.388291, -0.582307, -0.714247)
(0.456809, -0.522028, -0.720286)
(0.441177, -0.567149, -0.695488)
(0.50618, -0.506181, -0.698257)
(0.489845, -0.55104, -0.675579)
(0.55104, -0.489845, -0.675579)
(0.534334, -0.534334, -0.654962)
(0.591588, -0.473326, -0.652676)
(0.57479, -0.51734, -0.634015)
(0.61291, -0.458778, -0.643322)
(-0.607691, -0.425464, -0.67059)
(-0.607691, -0.425464, -0.67059)
(-0.567149, -0.441178, -0.695488)
(-0.567149, -0.441178, -0.695488)
(-0.522028, -0.456809, -0.720286)
(-0.522028, -0.456809, -0.720286)
(-0.472065, -0.472065, -0.74452)
(-0.472065, -0.472065, -0.74452)
(-0.417114, -0.486589, -0.767624)
(-0.417114, -0.486589, -0.767624)
(-0.357191, -0.499975, -0.788948)
(-0.357191, -0.499975, -0.788948)
(-0.292528, -0.511779, -0.807781)
(-0.292528, -0.511779, -0.807781)
(-0.223606, -0.521554, -0.823397)
(-0.223606, -0.521554, -0.823397)
(-0.151177, -0.528884, -0.835121)
(-0.151177, -0.528884, -0.835121)
(-0.0762422, -0.533432, -0.8424)
(-0.0762422, -0.533432, -0.8424)
(-1.05752e-07, -0.534974, -0.844869)
(-1.05752e-07, -0.534974, -0.844869)
(0.0762422, -0.533432, -0.8424)
(1.78192e-09, -0.586347, -0.81006)
(0.151177, -0.528884, -0.835121)
(0.0731377, -0.58479, -0.807881)
(0.223606, -0.521554, -0.823397)
(0.14512, -0.580195, -0.801445)
(0.21488, -0.572768, -0.791052)
(0.292527, -0.51178, -0.807781)
(0.281511, -0.562829, -0.777158)
(0.357191, -0.499975, -0.788948)
(0.344319, -0.550771, -0.760326)
(0.417114, -0.486589, -0.767624)
(0.402836, -0.537027, -0.741165)
(0.472065, -0.472065, -0.74452)
(0.456809, -0.522028, -0.720286)
(0.522028, -0.456809, -0.720286)
(0.50618, -0.506181, -0.698257)
(0.567149, -0.441178, -0.695488)
(0.55104, -0.489845, -0.675579)
(0.607691, -0.425464, -0.67059)
(0.591588, -0.473326, -0.652676)
(0.628619, -0.411479, -0.659942)
(-0.622758, -0.373753, -0.687373)
(-0.622758, -0.373753, -0.687373)
(-0.582307, -0.388291, -0.714247)
(-0.582307, -0.388291, -0.714247)
(-0.537027, -0.402836, -0.741165)
(-0.537027, -0.402836, -0.741165)
(-0.486589, -0.417114, -0.767624)
(-0.486589, -0.417114, -0.767624)
(-0.430787, -0.430787, -0.792998)
(-0.430787, -0.430787, -0.792998)
(-0.369585, -0.443458, -0.816549)
(-0.369585, -0.443458, -0.816549)
(-0.303188, -0.454691, -0.837456)
(-0.303188, -0.454691, -0.837456)
(-0.232086, -0.464035, -0.854873)
(-0.232086, -0.464035, -0.854873)
(-0.157082, -0.471069, -0.867997)
(-0.157082, -0.471069, -0.867997)
(-0.0792747, -0.475443, -0.876167)
(-0.0792747, -0.475443, -0.876167)
(-2.10368e-07, -0.476928, -0.878942)
(-2.10368e-07, -0.476928, -0.878942)
(0.0792746, -0.475443, -0.876167)
(-1.05752e-07, -0.534974, -0.844869)
(0.157082, -0.471069, -0.867997)
(0.0762422, -0.533432, -0.8424)
(0.232086, -0.464036, -0.854872)
(0.151177, -0.528884, -0.835121)
(0.223606, -0.521554, -0.823397)
(0.303188, -0.454691, -0.837456)
(0.292527, -0.51178, -0.807781)
(0.369585, -0.443458, -0.816549)
(0.357191, -0.499975, -0.788948)
(0.430787, -0.430787, -0.792998)
(0.417114, -0.486589, -0.767624)
(0.486589, -0.417114, -0.767624)
(0.472065, -0.472065, -0.74452)
(0.537027, -0.402836, -0.741165)
(0.522028, -0.456809, -0.720286)
(0.582307, -0.388291, -0.714247)
(0.567149, -0.441178, -0.695488)
(0.622758, -0.373753, -0.687373)
(0.607691, -0.425464, -0.67059)
(0.643218, -0.360685, -0.675409)
(-0.643217, -0.360685, -0.675409)
(-0.636413, -0.318314, -0.702605)
(-0.59612, -0.331279, -0.731365)
(-0.59612, -0.331279, -0.731365)
(-0.550771, -0.344319, -0.760326)
(-0.550771, -0.344319, -0.760326)
(-0.499975, -0.357191, -0.788948)
(-0.499975, -0.357191, -0.788948)
(-0.443458, -0.369585, -0.816549)
(-0.443458, -0.369585, -0.816549)
(-0.381133, -0.381133, -0.842303)
(-0.381133, -0.381133, -0.842303)
(-0.31317, -0.391422, -0.865282)
(-0.31317, -0.391422, -0.865282)
(-0.240059, -0.400017, -0.88451)
(-0.240059, -0.400017, -0.88451)
(-0.162651, -0.406511, -0.899051)
(-0.162651, -0.406511, -0.899051)
(-0.0821403, -0.41056, -0.908126)
(-0.0821403, -0.41056, -0.908126)
(-1.04616e-07, -0.411936, -0.911213)
(-1.04616e-07, -0.411936, -0.911213)
(0.0821401, -0.41056, -0.908127)
(-2.10368e-07, -0.476928, -0.878942)
(0.162651, -0.406511, -0.899051)
(0.0792746, -0.475443, -0.876167)
(0.24006, -0.400017, -0.88451)
(0.157082, -0.471069, -0.867997)
(0.232086, -0.464036, -0.854872)
(0.31317, -0.391421, -0.865283)
